,actual_class,WG_actual,CT_actual,CWVI_actual,VigorGap_actual,CTR_actual,WG_predicted,CT_predicted,CWVI_predicted,VigorGap_pred,CTR_predicted,predicted_class,class_match,WG_Signed_Error,WG_Abs_Error,WG_Error_Pct,CT_Signed_Error,CT_Abs_Error,CT_Error_Pct,CWVI_Error,VigorGap_Error
Lot 01,Excellent,81.0,72.0,144.9,9.0,0.8889,81.0199966430664,74.34,147.26,6.68,0.9175,Excellent,True,0.02,0.02,0.02,2.34,2.34,3.25,2.36,-2.32
Lot 02,Excellent,90.5,80.0,161.45,10.5,0.884,90.83999633789062,80.17,161.93,10.67,0.8825,Excellent,True,0.34,0.34,0.38,0.17,0.17,0.21,0.48,0.17
Lot 03,Excellent,92.5,79.5,162.75,13.0,0.8595,92.44000244140625,80.65,163.85,11.79,0.8724,Excellent,True,-0.06,0.06,0.06,1.15,1.15,1.45,1.1,-1.21
Lot 04,Excellent,94.0,83.5,168.1,10.5,0.8883,93.8499984741211,83.02,167.48,10.83,0.8846,Excellent,True,-0.15,0.15,0.16,-0.48,0.48,0.57,-0.62,0.33
Lot 05,Good,74.5,62.0,129.05,12.5,0.8322,76.18000030517578,61.94,130.5,14.23,0.8131,Good,True,1.68,1.68,2.26,-0.06,0.06,0.1,1.45,1.73
Lot 06,Good,88.87,70.25,150.24,18.62,0.7904,89.22000122070312,70.81,151.1,18.42,0.7936,Good,True,0.35,0.35,0.39,0.56,0.56,0.8,0.86,-0.2
Lot 07,Good,91.0,70.67,152.57,20.33,0.7766,89.66000366210938,71.05,151.75,18.61,0.7924,Good,True,-1.34,1.34,1.47,0.38,0.38,0.54,-0.82,-1.72
Lot 08,Poor,52.0,2.0,48.8,50.0,0.0385,52.119998931884766,2.06,48.97,50.06,0.0396,Poor,True,0.12,0.12,0.23,0.06,0.06,3.0,0.17,0.06
Lot 09,Poor,78.92,8.17,79.19,70.75,0.1035,78.87000274658203,8.12,79.1,70.75,0.1029,Poor,True,-0.05,0.05,0.06,-0.05,0.05,0.61,-0.09,0.0
Lot 10,Poor,85.0,7.0,83.5,78.0,0.0824,83.83999633789062,6.91,82.36,76.94,0.0824,Poor,True,-1.16,1.16,1.36,-0.09,0.09,1.29,-1.14,-1.06
AGGREGATE,-- AGGREGATE --,83.38,37.44,112.48,45.93,0.4334,83.24,37.49,112.4,45.74,0.4347,Acc=99.3%,WGR²=0.9608|CTR²=0.9990|Exc=8.0%,-0.14,0.69,0.83,0.05,0.31,1.09,-0.08,-0.19
