,actual_class,WG_actual,CT_actual,WG_predicted,CT_predicted,wg_abs_error,ct_abs_error,WG_Signed_Error,WG_Abs_Error,WG_Error_Pct,CT_Signed_Error,CT_Abs_Error,CT_Error_Pct,CTR_actual,CTR_predicted,predicted_class,class_match
Lot 01,Excellent,81.0,72.0,80.76,74.69,0.2383059611988756,2.689773148190582,-0.24,0.24,0.3,2.69,2.69,3.74,0.8889,0.9248,Excellent,True
Lot 02,Excellent,90.5,80.0,91.02,80.7,0.5190130015250958,0.6952770500317627,0.52,0.52,0.57,0.7,0.7,0.87,0.884,0.8866,Excellent,True
Lot 03,Excellent,92.5,79.5,92.83,80.19,0.3315689464407825,0.6864133304629547,0.33,0.33,0.36,0.69,0.69,0.87,0.8595,0.8638,Excellent,True
Lot 04,Excellent,94.0,83.5,94.2,82.5,0.19578213738486738,1.0038686940146846,0.2,0.2,0.21,-1.0,1.0,1.2,0.8883,0.8758,Excellent,True
Lot 05,Good,74.5,62.0,79.81,61.69,5.308738668380087,0.311695469276593,5.31,5.31,7.13,-0.31,0.31,0.5,0.8322,0.773,Good,True
Lot 06,Good,88.87,70.25,89.4,70.81,0.525277125195359,0.5645776039548451,0.53,0.53,0.6,0.56,0.56,0.8,0.7905,0.7921,Good,True
Lot 07,Good,91.0,70.67,90.07,70.92,0.9262648988444226,0.24936209118367003,-0.93,0.93,1.02,0.25,0.25,0.35,0.7766,0.7874,Good,True
Lot 08,Poor,52.0,2.0,52.55,2.07,0.5492178328667947,0.07213103665945653,0.55,0.55,1.06,0.07,0.07,3.5,0.0385,0.0394,Poor,True
Lot 09,Poor,78.92,8.17,77.47,8.14,1.449996027188746,0.028340336575730873,-1.45,1.45,1.84,-0.03,0.03,0.37,0.1035,0.1051,Poor,True
Lot 10,Poor,85.0,7.0,83.44,6.98,1.5638519182183188,0.017532572987057016,-1.56,1.56,1.84,-0.02,0.02,0.29,0.0824,0.0837,Poor,True
AGGREGATE,-- AGGREGATE --,83.38,37.44,83.23,37.47,,,-0.14,0.96,1.15,0.02,0.35,1.1,0.4334,0.4345,--,R2(WG)=0.9441  R2(CT)=0.9989
